code,name,department_id
15248,EL ESPINO,5
15272,FIRAVITOBA,5
15276,FLORESTA,5
15293,GACHANTIVÁ,5
15296,GÁMEZA,5
15299,GARAGOA,5
15317,GUACAMAYAS,5
15322,GUATEQUE,5
15325,GUAYATÁ,5
15332,GÜICÁN DE LA SIERRA,5
15362,IZA,5
15367,JENESANO,5
15368,JERICÓ,5
15377,LABRANZAGRANDE,5
15380,LA CAPILLA,5
15401,LA VICTORIA,5
15403,LA UVITA,5
15407,VILLA DE LEYVA,5
15425,MACANAL,5
15442,MARIPÍ,5
15455,MIRAFLORES,5
15464,MONGUA,5
15466,MONGUÍ,5
15469,MONIQUIRÁ,5
15476,MOTAVITA,5
15480,MUZO,5
15491,NOBSA,5
15494,NUEVO COLÓN,5
15500,OICATÁ,5
15507,OTANCHE,5
15511,PACHAVITA,5
15514,PÁEZ,5
15516,PAIPA,5
15518,PAJARITO,5
15522,PANQUEBA,5
15531,PAUNA,5
15533,PAYA,5
15537,PAZ DE RÍO,5
15542,PESCA,5
15550,PISBA,5
15572,PUERTO BOYACÁ,5
15580,QUÍPAMA,5
15599,RAMIRIQUÍ,5
15600,RÁQUIRA,5
15621,RONDÓN,5
15632,SABOYÁ,5
15638,SÁCHICA,5
15646,SAMACÁ,5
15660,SAN EDUARDO,5
15664,SAN JOSÉ DE PARE,5
15667,SAN LUIS DE GACENO,5
15673,SAN MATEO,5
15676,SAN MIGUEL DE SEMA,5
15681,SAN PABLO DE BORBUR,5
15686,SANTANA,5
15690,SANTA MARÍA,5
15693,SANTA ROSA DE VITERBO,5
15696,SANTA SOFÍA,5
15720,SATIVANORTE,5
15723,SATIVASUR,5
15740,SIACHOQUE,5
15753,SOATÁ,5
15755,SOCOTÁ,5
15757,SOCHA,5
15759,SOGAMOSO,5
15761,SOMONDOCO,5
15762,SORA,5
15763,SOTAQUIRÁ,5
15764,SORACÁ,5
15774,SUSACÓN,5
15776,SUTAMARCHÁN,5
15778,SUTATENZA,5
15790,TASCO,5
15798,TENZA,5
15804,TIBANÁ,5
15806,TIBASOSA,5
15808,TINJACÁ,5
15810,TIPACOQUE,5
15814,TOCA,5
15816,TOGÜÍ,5
15820,TÓPAGA,5
15822,TOTA,5
15832,TUNUNGUÁ,5
15835,TURMEQUÉ,5
15837,TUTA,5
15839,TUTAZÁ,5
15842,ÚMBITA,5
15861,VENTAQUEMADA,5
15879,VIRACACHÁ,5
15897,ZETAQUIRA,5
17001,MANIZALES,6
17013,AGUADAS,6
17042,ANSERMA,6
17050,ARANZAZU,6
17088,BELALCÁZAR,6
17174,CHINCHINÁ,6
17272,FILADELFIA,6
17380,LA DORADA,6
17388,LA MERCED,6
17433,MANZANARES,6
17442,MARMATO,6
17444,MARQUETALIA,6
17446,MARULANDA,6
17486,NEIRA,6
17495,NORCASIA,6
17513,PÁCORA,6
17524,PALESTINA,6
17541,PENSILVANIA,6
17614,RIOSUCIO,6
17616,RISARALDA,6
17653,SALAMINA,6
17662,SAMANÁ,6
17665,SAN JOSÉ,6
17777,SUPÍA,6
17867,VICTORIA,6
17873,VILLAMARÍA,6
17877,VITERBO,6
18001,FLORENCIA,7
18029,ALBANIA,7
18094,BELÉN DE LOS ANDAQUÍES,7
18150,CARTAGENA DEL CHAIRÁ,7
18205,CURILLO,7
18247,EL DONCELLO,7
18256,EL PAUJÍL,7
18410,LA MONTAÑITA,7
18460,MILÁN,7
18479,MORELIA,7
18592,PUERTO RICO,7
18610,SAN JOSÉ DEL FRAGUA,7
18753,SAN VICENTE DEL CAGUÁN,7
18756,SOLANO,7
18785,SOLITA,7
18860,VALPARAÍSO,7
19001,POPAYÁN,8
19022,ALMAGUER,8
19050,ARGELIA,8
19075,BALBOA,8
19100,BOLÍVAR,8
19110,BUENOS AIRES,8
19130,CAJIBÍO,8
19137,CALDONO,8
19142,CALOTO,8
19212,CORINTO,8
19256,EL TAMBO,8
19290,FLORENCIA,8
19300,GUACHENÉ,8
19318,GUAPI,8
19355,INZÁ,8
19364,JAMBALÓ,8
19392,LA SIERRA,8
19397,LA VEGA,8
19418,LÓPEZ DE MICAY,8
19450,MERCADERES,8
19455,MIRANDA,8
19473,MORALES,8
19513,PADILLA,8
19517,PÁEZ,8
19532,PATÍA,8
19533,PIAMONTE,8
19548,PIENDAMÓ - TUNÍA,8
19573,PUERTO TEJADA,8
19585,PURACÉ,8
19622,ROSAS,8
19693,SAN SEBASTIÁN,8
19698,SANTANDER DE QUILICHAO,8
19701,SANTA ROSA,8
19743,SILVIA,8
19760,SOTARÁ PAISPAMBA,8
19780,SUÁREZ,8
19785,SUCRE,8
19807,TIMBÍO,8
19809,TIMBIQUÍ,8
19821,TORIBÍO,8
19824,TOTORÓ,8
19845,VILLA RICA,8
20001,VALLEDUPAR,9
20011,AGUACHICA,9
20013,AGUSTÍN CODAZZI,9
20032,ASTREA,9
20045,BECERRIL,9
20060,BOSCONIA,9
20175,CHIMICHAGUA,9
20178,CHIRIGUANÁ,9
20228,CURUMANÍ,9
20238,EL COPEY,9
20250,EL PASO,9
20295,GAMARRA,9
20310,GONZÁLEZ,9
20383,LA GLORIA,9
20400,LA JAGUA DE IBIRICO,9
20443,MANAURE BALCÓN DEL CESAR,9
20517,PAILITAS,9
20550,PELAYA,9
20570,PUEBLO BELLO,9
20614,RÍO DE ORO,9
20621,LA PAZ,9
20710,SAN ALBERTO,9
20750,SAN DIEGO,9
20770,SAN MARTÍN,9
20787,TAMALAMEQUE,9
23001,MONTERÍA,10
23068,AYAPEL,10
23079,BUENAVISTA,10
23090,CANALETE,10
23162,CERETÉ,10
23168,CHIMÁ,10
23182,CHINÚ,10
23189,CIÉNAGA DE ORO,10
23300,COTORRA,10
23350,LA APARTADA,10
23417,LORICA,10
23419,LOS CÓRDOBAS,10
23464,MOMIL,10
23466,MONTELÍBANO,10
23500,MOÑITOS,10
23555,PLANETA RICA,10
23570,PUEBLO NUEVO,10
23574,PUERTO ESCONDIDO,10
23580,PUERTO LIBERTADOR,10
23586,PURÍSIMA DE LA CONCEPCIÓN,10
23660,SAHAGÚN,10
23670,SAN ANDRÉS DE SOTAVENTO,10
23672,SAN ANTERO,10
23675,SAN BERNARDO DEL VIENTO,10
23678,SAN CARLOS,10
23682,SAN JOSÉ DE URÉ,10
23686,SAN PELAYO,10
23807,TIERRALTA,10
23815,TUCHÍN,10
23855,VALENCIA,10
25001,AGUA DE DIOS,11
25019,ALBÁN,11
25035,ANAPOIMA,11
25040,ANOLAIMA,11
25053,ARBELÁEZ,11
25086,BELTRÁN,11
25095,BITUIMA,11
25099,BOJACÁ,11
25120,CABRERA,11
25123,CACHIPAY,11
25126,CAJICÁ,11
25148,CAPARRAPÍ,11
